ティッカー,詳細,現在値,変動率,変動,評価,出来高,時価総額,PER: 株価収益率 (直近12ヶ月),基本1株当たり利益 (直近12ヶ月),従業員数,セクター,EMA: 指数移動平均線 (20),EMA: 指数移動平均線 (200)
KNBE,"KnowBe4, Inc.",27.4,9.20685532,2.31,強い買い,1291908,4644066023.735343,,-0.0955,1014,テクノロジーサービス,24.24322191,
AQUA,Evoqua Water Technologies Corp.,38.62,-1.45445267,-0.57,買い,468757,4643395968.03354,84.04163053,0.4758,4020,工業サービス,37.90313989,30.11469848
LESL,"Leslie's, Inc.",24.51,0.61576355,0.15,中立,817968,4640309373.255032,38.55288157,0.6509,3700,小売業,23.95267877,25.12776871
UBSI,"United Bankshares, Inc.",35.86,-0.6097561,-0.22,売り,260424,4633241162.499308,11.76413128,3.0756,3051,金融,35.86126227,35.53051771
AL,Air Lease Corporation,40.59,1.19670905,0.48,売り,686822,4632987060.759504,11.55998242,3.4209,120,金融,40.83037944,42.19615052
POR,Portland General Electric Co,51.76,-0.74784276,-0.39,買い,364545,4627626336.300843,28.68464502,1.8201,3639,施設サービス事業,50.88016743,47.34727759
HRB,"H&R Block, Inc.",25.98,-0.76394194,-0.2,買い,1289794,4625871007.71788,8.27601439,3.2589,72400,消費者サービス,25.54594975,22.30882567
GOOS,Canada Goose Holdings Inc. Subordinate Voting Shares,41.85,1.08695652,0.45,買い,671510,4625635364.153465,98.24902724,0.4188,3590,非耐久消費財,39.49365401,38.58742988
MIME,Mimecast Limited,70.32,1.36946807,0.95,買い,576155,4622754210.10268,126.52472032,0.5708,1765,テクノロジーサービス,64.46427026,50.97635615
GRA,W.R. Grace & Co.,69.66,0,0,買い,233042,4616372177.141872,60.21616948,1.1591,4000,素材産業,69.53860238,64.07495604
SDGR,"Schrodinger, Inc.",65.25,0.97493036,0.63,買い,518848,4615672870.480631,,-0.5926,452,テクノロジーサービス,61.21284409,70.11689192
SHI,"SINOPEC Shangai Petrochemical Company, Ltd.",24.55,11.99817518,2.63,強い買い,235895,4613927456.985507,22.98643493,0.9436,8466,素材産業,21.75682706,23.25004645
ESGR,Enstar Group Limited,226.01,-0.87280702,-1.99,売り,81251,4611082791.369827,2.50119143,92.6791,1189,金融,240.27415541,232.40890334
CD,Chindata Group Holdings Limited,12.59,0.96230954,0.12,買い,1246712,4610556403,,-0.0271,981,テクノロジーサービス,11.66295715,15.16287754
MSM,"MSC Industrial Direct Company, Inc.",82.81,-1.13419293,-0.95,強い売り,194750,4609010166.90325,22.90455059,3.6474,6315,流通サービス,84.63301694,85.21310996
REZI,"Resideo Technologies, Inc.",31.91,-1.39060569,-0.45,買い,353927,4600877670.575218,18.19730789,1.8014,14700,流通サービス,31.04893853,26.46007168
ADGI,"Adagio Therapeutics, Inc.",42.39,18.27566964,6.55,買い,591682,4599978637.743999,,,49,商業サービス,29.72559524,
STEP,StepStone Group Inc.,48.48,-0.67609096,-0.33,買い,133767,4596695864.033515,27.71713888,1.7274,,金融,46.54721017,36.54993416
GT,The Goodyear Tire & Rubber Company,16.31,0.74119827,0.12,買い,2841901,4582784433.829208,27.80454233,0.5852,62000,耐久消費財,15.84873441,15.45606284
VIRT,"Virtu Financial, Inc.",24.46,0.24590164,0.06,売り,909525,4580619313.963429,5.87056606,4.2323,976,金融,25.3223492,26.76062479
ENSG,"The Ensign Group, Inc.",82.86,-0.39668229,-0.33,売り,135110,4568744982.809403,24.92787595,3.4833,24400,健康サービス,82.5227592,80.0123693
KLIC,"Kulicke and Soffa Industries, Inc.",73.59,1.07128142,0.78,強い買い,525765,4560262744.285172,18.02414038,4.0192,2544,製造加工,66.91574027,50.04462622
BCPC,Balchem Corporation,140.72,-0.99204953,-1.41,買い,118070,4555181879.102345,50.73977372,2.7853,1342,素材産業,135.94626038,124.48447202
UFPI,"UFP Industries, Inc.",73.59,-0.99556034,-0.74,売り,182289,4551595474.22051,11.13416218,6.7085,12000,非エネルギー鉱物,74.77355253,69.62798549
RXRX,"Recursion Pharmaceuticals, Inc.",27.01,1.38888889,0.37,買い,395341,4550737616.082728,,,,健康テクノロジー,24.78935235,
HLNE,Hamilton Lane Incorporated,85.63,-1.58602459,-1.38,売り,132685,4540929000.89185,25.06401389,3.4124,450,金融,88.5357943,85.50870982
BKH,Black Hills Corporation,71.49,-0.84604716,-0.61,買い,136253,4538204452.228016,19.08790094,3.7512,3011,施設サービス事業,70.89111745,66.45483748
AVNT,Avient Corporation,49.67,-0.9176142,-0.46,中立,227064,4534739805.878392,20.77863287,2.4536,8400,素材産業,49.90635046,45.42579981
PINC,"Premier, Inc.",36.93,-0.32388664,-0.12,買い,296807,4534273901.950135,14.28404624,2.5879,2600,健康サービス,36.78342796,35.02076961
APPF,"AppFolio, Inc.",123.6,1.57790927,1.92,売り,73118,4533420917.398427,31.17944527,4.0718,1335,テクノロジーサービス,126.10324209,140.27706436
LIVN,LivaNova PLC,84.9,-2.23399355,-1.94,買い,241693,4517154108.7128,,-7.8008,4000,健康テクノロジー,82.72864654,75.87592978
AEO,"American Eagle Outfitters, Inc.",26.9,-0.37037037,-0.1,強い売り,8510018,4511581721.271214,42.16952007,0.859,37000,小売業,31.39217264,29.25908474
WBS,Webster Financial Corporation,49.72,-0.7980846,-0.4,売り,561834,4504248742.414111,13.96227471,3.5821,,金融,49.90136462,49.21902924
RRC,Range Resources Corporation,17.24,3.79289585,0.63,強い買い,6788980,4478581464.492585,,-3.2105,533,エネルギー鉱物,14.7701815,12.05638678
SAIL,"SailPoint Technologies Holdings, Inc.",48.01,-0.20785699,-0.1,買い,553869,4462146921.306084,,-0.407,1394,テクノロジーサービス,46.93647379,47.22086936
DQ,DAQO New Energy Corp.,61.75,-4.17442582,-2.69,買い,1653721,4452949954,11.39077303,3.6486,1896,素材産業,57.3416652,62.41916082
CRI,"Carter's, Inc.",101.16,1.11955218,1.12,売り,442166,4452160598.524476,13.38724987,7.7171,18000,小売業,102.83862667,97.82423256
ASAI,Sendas Distribuidora S A,17.35,2.05882353,0.35,強い買い,178762,4448247426.242235,,,46409,小売業,16.71437338,
MSGS,Madison Square Garden Sports Corp.,184.42,0.36462585,0.67,買い,217004,4447677694.660775,,-0.5832,657,消費者サービス,171.40630938,173.66374176
DTM,"DT Midstream, Inc.",45.97,-1.24597207,-0.58,買い,412658,4446791624.973285,,,,工業サービス,44.70357754,
FEYE,"FireEye, Inc.",18.55,1.42154183,0.26,中立,1756823,4437008960.582605,,-0.8945,3400,テクノロジーサービス,18.35573442,18.9752253
AMEH,"Apollo Medical Holdings, Inc.",80.03,0.67933073,0.54,買い,407385,4428867879.173172,60.94196004,1.2949,630,健康サービス,76.84807478,48.52067065
NSP,"Insperity, Inc.",114.2,0.12274242,0.14,買い,129215,4408420489.137276,38.66433566,2.8929,3600,商業サービス,107.58033147,90.61556328
