id,code,client_name,explain,market,created_at,updated_at
88,AFI,Armstrong Flooring,住宅・ 商業・公共施設建設用の弾性・木質床材製品を設計、製造、販売する床材メーカー。,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
89,AFIB,Acutus Medical Inc,不整脈の診断と治療法を開発,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
90,AFL,Aflac,医療保険販売,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
91,AFMD,Affimed NV,バイオ医薬品会社,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
92,AFRM,Affirm Holdings Inc,次世代のデジタルおよびモバイルファーストコマースのプラットフォームを構築・提供している会社,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
93,AFYA,Afya Limited,ブラジルの医学教育グループ,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
94,AG,First Majestic Silver Corp,メキシコにおいて銀プロパティの取得・探鉱・開発、及び銀の生産に従事している会社,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
95,AGCO,AGCO,世界的な農業機械メーカー,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
96,AGEN,Agenus,脳腫瘍、腎臓がんなどの治療用ワクチンの研究に従事するワクチン開発会社。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
97,AGFS,AgroFresh Solutions,新鮮な食材の保存と廃棄物削減ソリューションを提供する企業。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
98,AGFY,Agrify Corporation,栽培ソリューションプロバイダ,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
99,AGI,Alamos Gold Inc A,鉱山の探査・開発などに従事している会社,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
100,AGIO,Agios Pharmaceuticals,バイオ医薬品会社,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
101,AGL,agilon health Inc,医療情報システムプラットフォームを提供している会社,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
102,AGLE,Aeglea BioTherapeutics,先天性の代謝疾患やがん治療のための治療用酵素の開発に注力する米国のバイオテクノロジー企業。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
103,AGM,Federal Agricultural Mortgage C,モーゲージ流通市場を提供する米国の会社。,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
104,AGMH,AGM Group Holdings Inc,中国のIT・ソフトウェア持株会社,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
105,AGO,Assured Guaranty Ltd,子会社経営を通して金融保証商品を提供しているバミューダ籍の持株会社,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
106,AGR,Avangrid,米国の総合エネルギー・公益事業会社。クリーンエネルギーを提供する。また、発電・天然ガス貯蔵施設の保有・運営も手掛ける。,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
107,AGRO,Adecoagro SA,南米の農業会社。アルゼンチン、ブラジル、ウルグアイで活動を展開,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
108,AGRX,Agile Therapeutics,女性のヘルスケア製品に特化した米国の医薬品開発会社。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
109,AGS,PlayAGS Inc,スロットマシーンゲームや携帯端末向けソーシャルゲームのコンテンツ開発などを総合的に取り扱うゲーム開発会社。,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
110,AGTC,Applied Genetic Technologies,新しい治療法の研究開発に従事するバイオ医薬品会社。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
111,AGTI,Agiliti Inc,米国の医療業界に医療技術管理およびサービスソリューションを提供,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
112,AGX,Argan,エネルギー施設の設計・建設会社。,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
113,AGYS,Agilysys Inc,米国の企業向けソフトウェアおよびサービス提供会社,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
114,AHCO,AdaptHealth Corp,米国の在宅医療機器、在宅医療用品および関連サービスを提供。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
115,AHPI,Allied Healthcare Products Inc,呼吸器関連製品を製造している米国企業,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
116,AI,C3Ai Inc A,エンタープライズAI企業,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
117,AIG,American International Group,生損保・金融サービス大手,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
118,AIMC,Altra Industrial Motion,米国の動力伝導装置メーカー。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
119,AIN,Albany International A,繊維・材料加工会社。,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
120,AIR,AAR,航空機関連サービス企業。,NYSE,2021/09/10 00:00:00,2021/09/10 00:00:00
121,AIRG,Airgain,住居や事業所などにおいてワイヤレス環境を提供するアンテナの開発・製造・販売に従事するワイヤレス・テクノロジー企業。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
122,AIRT,Air T,宅急便業界に対して夜間航空貨物サービス、空港における地上業務支援設備の提供を手掛ける航空貨物サービス会社。,NASDAQ,2021/09/10 00:00:00,2021/09/10 00:00:00
